MAC;SLOC Name;Time received;Time recorded;Event;Value
04C3E680FACF;Stapler 349-1;07.05.2024 17:02:09;07.05.2024 17:00:04;Battery Level;"77.12"
04C3E680FACF;Stapler 349-1;07.05.2024 17:02:09;07.05.2024 17:00:04;Battery Used Charge;"1601.707 mAh"
04C3E680FACF;Stapler 349-1;07.05.2024 17:02:09;07.05.2024 17:00:04;Battery Voltage;"3.646"
04C3E680FACF;Stapler 349-1;07.05.2024 05:00:25;07.05.2024 05:00:09;Battery Level;"77.72"
04C3E680FACF;Stapler 349-1;07.05.2024 05:00:25;07.05.2024 05:00:09;Battery Used Charge;"1559.767 mAh"
04C3E680FACF;Stapler 349-1;07.05.2024 05:00:25;07.05.2024 05:00:09;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;06.05.2024 22:59:47;06.05.2024 22:59:38;Battery Level;"77.74"
04C3E680FACF;Stapler 349-1;06.05.2024 22:59:47;06.05.2024 22:59:38;Battery Used Charge;"1558.349 mAh"
04C3E680FACF;Stapler 349-1;06.05.2024 22:59:47;06.05.2024 22:59:38;Battery Voltage;"3.660"
04C3E680FACF;Stapler 349-1;06.05.2024 17:00:48;06.05.2024 17:00:04;Battery Level;"77.8"
04C3E680FACF;Stapler 349-1;06.05.2024 17:00:48;06.05.2024 17:00:04;Battery Used Charge;"1553.853 mAh"
04C3E680FACF;Stapler 349-1;06.05.2024 17:00:48;06.05.2024 17:00:04;Battery Voltage;"3.654"
04C3E680FACF;Stapler 349-1;06.05.2024 05:00:18;06.05.2024 05:00:09;Battery Level;"78.41"
04C3E680FACF;Stapler 349-1;06.05.2024 05:00:18;06.05.2024 05:00:09;Battery Used Charge;"1511.015 mAh"
04C3E680FACF;Stapler 349-1;06.05.2024 05:00:18;06.05.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;05.05.2024 22:59:55;05.05.2024 22:59:37;Battery Level;"78.43"
04C3E680FACF;Stapler 349-1;05.05.2024 22:59:55;05.05.2024 22:59:37;Battery Used Charge;"1509.768 mAh"
04C3E680FACF;Stapler 349-1;05.05.2024 22:59:55;05.05.2024 22:59:37;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;05.05.2024 17:00:14;05.05.2024 17:00:04;Battery Level;"78.44"
04C3E680FACF;Stapler 349-1;05.05.2024 17:00:14;05.05.2024 17:00:04;Battery Used Charge;"1508.913 mAh"
04C3E680FACF;Stapler 349-1;05.05.2024 17:00:14;05.05.2024 17:00:04;Battery Voltage;"3.668"
04C3E680FACF;Stapler 349-1;05.05.2024 05:00:19;05.05.2024 05:00:09;Battery Level;"78.46"
04C3E680FACF;Stapler 349-1;05.05.2024 05:00:19;05.05.2024 05:00:09;Battery Used Charge;"1507.725 mAh"
04C3E680FACF;Stapler 349-1;05.05.2024 05:00:19;05.05.2024 05:00:09;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;04.05.2024 22:59:47;04.05.2024 22:59:38;Battery Level;"78.47"
04C3E680FACF;Stapler 349-1;04.05.2024 22:59:47;04.05.2024 22:59:38;Battery Used Charge;"1506.874 mAh"
04C3E680FACF;Stapler 349-1;04.05.2024 22:59:47;04.05.2024 22:59:38;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;04.05.2024 17:00:14;04.05.2024 17:00:04;Battery Level;"78.49"
04C3E680FACF;Stapler 349-1;04.05.2024 17:00:14;04.05.2024 17:00:04;Battery Used Charge;"1505.944 mAh"
04C3E680FACF;Stapler 349-1;04.05.2024 17:00:14;04.05.2024 17:00:04;Battery Voltage;"3.664"
04C3E680FACF;Stapler 349-1;04.05.2024 05:00:18;04.05.2024 05:00:09;Battery Level;"78.5"
04C3E680FACF;Stapler 349-1;04.05.2024 05:00:18;04.05.2024 05:00:09;Battery Used Charge;"1504.737 mAh"
04C3E680FACF;Stapler 349-1;04.05.2024 05:00:18;04.05.2024 05:00:09;Battery Voltage;"3.662"
04C3E680FACF;Stapler 349-1;03.05.2024 22:59:47;03.05.2024 22:59:37;Battery Level;"78.51"
04C3E680FACF;Stapler 349-1;03.05.2024 22:59:47;03.05.2024 22:59:37;Battery Used Charge;"1503.839 mAh"
04C3E680FACF;Stapler 349-1;03.05.2024 22:59:47;03.05.2024 22:59:37;Battery Voltage;"3.660"
